questions,code_answers
Напишите программу для нахождения суммы всех чисел в заданном диапазоне.,"def sum_of_range(start, end):
    total = 0
    for num in range(start, end + 1):
        total += num
    return total"
Write a function that takes in a list of integers and returns the sum of all the even numbers in the list.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
编写一个函数，该函数接受一个整数列表，并返回列表中所有偶数的和。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
एक फ़ंक्शन लिखें जो एक पूर्णांकों की सूची लेता है और सूची में सभी सम्पूर्णांकों के योग को लौटाता है।,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Escribe una función que tome una lista de enteros y devuelva la suma de todos los números pares en la lista.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
整数のリストを受け取り、リスト内のすべての偶数の合計を返す関数を作成してください。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
"Напишите функцию, которая принимает список целых чисел и возвращает сумму всех четных чисел в списке.","def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Write a Python program that generates a random number between 1 and 10 and asks the user to guess the number. The program should give the user a limited number of attempts and provide feedback on whether their guess is too high or too low.,"def guess_number():
    # Generate a random number between 1 and 10
    secret_number = random.randint(1, 10)
    
    # Set the maximum number of attempts
    max_attempts = 3
    
    # Loop until the user guesses the correct number or runs out of attempts
    for attempt in range(max_attempts):
        # Ask the user to guess the number
        guess = int(input(""Guess the number between 1 and 10: ""))
        
        # Check if the guess is correct
        if guess == secret_number:
            print(""Congratulations! You guessed the correct number."")
            return
        
        # Provide feedback on whether the guess is too high or too low
        if guess < secret_number:
            print(""Too low. Try again."")
        else:
            print(""Too high. Try again."")
    
    # If the user runs out of attempts, reveal the secret number
    print(""Sorry, you ran out of attempts. The secret number was"", secret_number)"
编写一个Python程序，生成一个1到10之间的随机数，并要求用户猜测这个数字。程序应该给用户一定次数的尝试机会，并提供关于他们的猜测是太高还是太低的反馈。,"def guess_number():
    # Generate a random number between 1 and 10
    secret_number = random.randint(1, 10)
    
    # Set the maximum number of attempts
    max_attempts = 3
    
    # Loop until the user guesses the correct number or runs out of attempts
    for attempt in range(max_attempts):
        # Ask the user to guess the number
        guess = int(input(""Guess the number between 1 and 10: ""))
        
        # Check if the guess is correct
        if guess == secret_number:
            print(""Congratulations! You guessed the correct number."")
            return
        
        # Provide feedback on whether the guess is too high or too low
        if guess < secret_number:
            print(""Too low. Try again."")
        else:
            print(""Too high. Try again."")
    
    # If the user runs out of attempts, reveal the secret number
    print(""Sorry, you ran out of attempts. The secret number was"", secret_number)"
एक पायथन प्रोग्राम लिखें जो 1 से 10 के बीच एक यादृच्छिक संख्या उत्पन्न करता है और उपयोगकर्ता से संख्या के बारे में अनुमान पूछता है। प्रोग्राम को उपयोगकर्ता को सीमित संख्या की कोशिशें देनी चाहिए और उनके अनुमान के बारे में प्रतिक्रिया देनी चाहिए कि उनका अनुमान बहुत ऊँचा है या बहुत नीचा है।,"def guess_number():
    # Generate a random number between 1 and 10
    secret_number = random.randint(1, 10)
    
    # Set the maximum number of attempts
    max_attempts = 3
    
    # Loop until the user guesses the correct number or runs out of attempts
    for attempt in range(max_attempts):
        # Ask the user to guess the number
        guess = int(input(""Guess the number between 1 and 10: ""))
        
        # Check if the guess is correct
        if guess == secret_number:
            print(""Congratulations! You guessed the correct number."")
            return
        
        # Provide feedback on whether the guess is too high or too low
        if guess < secret_number:
            print(""Too low. Try again."")
        else:
            print(""Too high. Try again."")
    
    # If the user runs out of attempts, reveal the secret number
    print(""Sorry, you ran out of attempts. The secret number was"", secret_number)"
Escribe un programa en Python que genere un número aleatorio entre 1 y 10 y le pida al usuario que adivine el número. El programa debe dar al usuario un número limitado de intentos y proporcionar retroalimentación sobre si su suposición es demasiado alta o demasiado baja.,"def guess_number():
    # Generate a random number between 1 and 10
    secret_number = random.randint(1, 10)
    
    # Set the maximum number of attempts
    max_attempts = 3
    
    # Loop until the user guesses the correct number or runs out of attempts
    for attempt in range(max_attempts):
        # Ask the user to guess the number
        guess = int(input(""Guess the number between 1 and 10: ""))
        
        # Check if the guess is correct
        if guess == secret_number:
            print(""Congratulations! You guessed the correct number."")
            return
        
        # Provide feedback on whether the guess is too high or too low
        if guess < secret_number:
            print(""Too low. Try again."")
        else:
            print(""Too high. Try again."")
    
    # If the user runs out of attempts, reveal the secret number
    print(""Sorry, you ran out of attempts. The secret number was"", secret_number)"
1から10までのランダムな数を生成し、ユーザーにその数を当ててもらうPythonプログラムを作成します。プログラムはユーザーに制限された回数の試行を与え、ユーザーの予想が高すぎるか低すぎるかについてフィードバックを提供します。,"def guess_number():
    # Generate a random number between 1 and 10
    secret_number = random.randint(1, 10)
    
    # Set the maximum number of attempts
    max_attempts = 3
    
    # Loop until the user guesses the correct number or runs out of attempts
    for attempt in range(max_attempts):
        # Ask the user to guess the number
        guess = int(input(""Guess the number between 1 and 10: ""))
        
        # Check if the guess is correct
        if guess == secret_number:
            print(""Congratulations! You guessed the correct number."")
            return
        
        # Provide feedback on whether the guess is too high or too low
        if guess < secret_number:
            print(""Too low. Try again."")
        else:
            print(""Too high. Try again."")
    
    # If the user runs out of attempts, reveal the secret number
    print(""Sorry, you ran out of attempts. The secret number was"", secret_number)"
"Напишите программу на Python, которая генерирует случайное число от 1 до 10 и просит пользователя угадать число. Программа должна предоставить пользователю ограниченное количество попыток и давать обратную связь о том, является ли их догадка слишком высокой или слишком низкой.","def guess_number():
    # Generate a random number between 1 and 10
    secret_number = random.randint(1, 10)
    
    # Set the maximum number of attempts
    max_attempts = 3
    
    # Loop until the user guesses the correct number or runs out of attempts
    for attempt in range(max_attempts):
        # Ask the user to guess the number
        guess = int(input(""Guess the number between 1 and 10: ""))
        
        # Check if the guess is correct
        if guess == secret_number:
            print(""Congratulations! You guessed the correct number."")
            return
        
        # Provide feedback on whether the guess is too high or too low
        if guess < secret_number:
            print(""Too low. Try again."")
        else:
            print(""Too high. Try again."")
    
    # If the user runs out of attempts, reveal the secret number
    print(""Sorry, you ran out of attempts. The secret number was"", secret_number)"
Write a program to check if a given string is a valid phone number or not.,"def is_valid_phone_number(phone_number):
    # Regular expression pattern for a valid phone number
    pattern = r'^\d{3}-\d{3}-\d{4}$'
    
    # Check if the phone number matches the pattern
    if re.match(pattern, phone_number):
        return True
    else:
        return False"
编写一个程序来检查给定的字符串是否是一个有效的电话号码。,"def is_valid_phone_number(phone_number):
    # Regular expression pattern for a valid phone number
    pattern = r'^\d{3}-\d{3}-\d{4}$'
    
    # Check if the phone number matches the pattern
    if re.match(pattern, phone_number):
        return True
    else:
        return False"
एक दिए गए स्ट्रिंग को जांचने के लिए एक प्रोग्राम लिखें जो कि एक मान्य फोन नंबर है या नहीं।,"def is_valid_phone_number(phone_number):
    # Regular expression pattern for a valid phone number
    pattern = r'^\d{3}-\d{3}-\d{4}$'
    
    # Check if the phone number matches the pattern
    if re.match(pattern, phone_number):
        return True
    else:
        return False"
Escribe un programa para verificar si una cadena dada es un número de teléfono válido o no.,"def is_valid_phone_number(phone_number):
    # Regular expression pattern for a valid phone number
    pattern = r'^\d{3}-\d{3}-\d{4}$'
    
    # Check if the phone number matches the pattern
    if re.match(pattern, phone_number):
        return True
    else:
        return False"
"Напишите программу для проверки, является ли заданная строка допустимым номером телефона или нет.","def is_valid_phone_number(phone_number):
    # Regular expression pattern for a valid phone number
    pattern = r'^\d{3}-\d{3}-\d{4}$'
    
    # Check if the phone number matches the pattern
    if re.match(pattern, phone_number):
        return True
    else:
        return False"
Write a program to find the sum of all elements in a given list.,"def find_sum(lst):
    total = 0
    for num in lst:
        total += num
    return total"
编写一个程序，找到给定列表中所有元素的总和。,"def find_sum(lst):
    total = 0
    for num in lst:
        total += num
    return total"
एक दिए गए सूची में सभी तत्वों के योग को ढूंढने के लिए एक प्रोग्राम लिखें।,"def find_sum(lst):
    total = 0
    for num in lst:
        total += num
    return total"
Escribe un programa para encontrar la suma de todos los elementos en una lista dada.,"def find_sum(lst):
    total = 0
    for num in lst:
        total += num
    return total"
Напишите программу для нахождения суммы всех элементов в заданном списке.,"def find_sum(lst):
    total = 0
    for num in lst:
        total += num
    return total"
Write a Python program to calculate the factorial of a number.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
编写一个Python程序来计算一个数的阶乘。,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
Напишите программу на Python для вычисления факториала числа.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
Write a function that takes a list of numbers as input and returns the sum of all the even numbers in the list.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
编写一个函数，该函数以一个数字列表作为输入，并返回列表中所有偶数的和。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
एक फ़ंक्शन लिखें जो एक संख्या की सूची को इनपुट के रूप में लेता है और सूची में सभी सम्पूर्ण समय संख्याओं का योग लौटाता है।,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Escribe una función que tome una lista de números como entrada y devuelva la suma de todos los números pares en la lista.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
リストの数値を入力として受け取り、リスト内のすべての偶数の合計を返す関数を作成してください。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
"Напишите функцию, которая принимает список чисел в качестве входных данных и возвращает сумму всех четных чисел в списке.","def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Write a program to generate the first N prime numbers.,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True"
编写一个程序来生成前N个质数。,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True"
पहले N प्राइम नंबर्स उत्पन्न करने के लिए एक प्रोग्राम लिखें।,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True"
Escribe un programa para generar los primeros N números primos.,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True"
Напишите программу для генерации первых N простых чисел.,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True"
Write a program to count the number of characters (excluding whitespace) in a given string.,"def count_characters(string):
    count = 0
    for char in string:
        if char != ' ':
            count += 1
    return count"
एक दिए गए स्ट्रिंग में (श्वेतस्थान को छोड़कर) अक्षरों की संख्या गिनने के लिए एक प्रोग्राम लिखें।,"def count_characters(string):
    count = 0
    for char in string:
        if char != ' ':
            count += 1
    return count"
Escribe un programa para contar el número de caracteres (excluyendo los espacios en blanco) en una cadena dada.,"def count_characters(string):
    count = 0
    for char in string:
        if char != ' ':
            count += 1
    return count"
Напишите программу для подсчета количества символов (исключая пробелы) в заданной строке.,"def count_characters(string):
    count = 0
    for char in string:
        if char != ' ':
            count += 1
    return count"
Write a program to find the product of all the numbers in a given list.,"def find_product(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product"
编写一个程序，找出给定列表中所有数字的乘积。,"def find_product(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product"
एक दिए गए सूची में सभी नंबरों का गुणांक ढूंढ़ने के लिए एक प्रोग्राम लिखें।,"def find_product(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product"
Escribe un programa para encontrar el producto de todos los números en una lista dada.,"def find_product(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product"
Напишите программу для нахождения произведения всех чисел в заданном списке.,"def find_product(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product"
Write a function to calculate the factorial of a given number.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
编写一个函数来计算给定数字的阶乘。,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
एक दिए गए नंबर का फैक्टोरियल (गुणांक) गणना करने के लिए एक फ़ंक्शन लिखें।,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
Escribe una función para calcular el factorial de un número dado.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
与えられた数の階乗を計算する関数を作成してください。,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
Напишите функцию для вычисления факториала заданного числа.,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
Write a Python program to check if a given number is prime or composite.,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
编写一个Python程序来检查给定的数字是素数还是合数。,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
Escribe un programa en Python para verificar si un número dado es primo o compuesto.,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
"Напишите программу на Python, чтобы проверить, является ли заданное число простым или составным.","def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
"Write a Python program to find the sum of all numbers below a given limit that are multiples of 7, but not multiples of 5.","def sum_multiples(limit):
    sum = 0
    for num in range(limit):
        if num % 7 == 0 and num % 5 != 0:
            sum += num
    return sum"
"Escribe un programa en Python para encontrar la suma de todos los números por debajo de un límite dado que son múltiplos de 7, pero no múltiplos de 5.","def sum_multiples(limit):
    sum = 0
    for num in range(limit):
        if num % 7 == 0 and num % 5 != 0:
            sum += num
    return sum"
"Напишите программу на Python, чтобы найти сумму всех чисел ниже заданного предела, которые являются кратными 7, но не кратными 5.","def sum_multiples(limit):
    sum = 0
    for num in range(limit):
        if num % 7 == 0 and num % 5 != 0:
            sum += num
    return sum"
Write a program that takes a string as input and prints the reverse of the string.,"def reverse_string(string):
    reversed_string = string[::-1]
    return reversed_string"
编写一个程序，接受一个字符串作为输入，并打印出该字符串的反转。,"def reverse_string(string):
    reversed_string = string[::-1]
    return reversed_string"
एक प्रोग्राम लिखें जो एक स्ट्रिंग को इनपुट के रूप में लेता है और स्ट्रिंग का उलटा प्रिंट करता है।,"def reverse_string(string):
    reversed_string = string[::-1]
    return reversed_string"
Write a Python program to swap the values of two variables without using a temporary variable.,"def swap_values(a, b):
    a = a ^ b
    b = a ^ b
    a = a ^ b
    return a, b"
编写一个Python程序，交换两个变量的值，不使用临时变量。,"def swap_values(a, b):
    a = a ^ b
    b = a ^ b
    a = a ^ b
    return a, b"
एक पायथन प्रोग्राम लिखें जो एक अस्थायी चर का उपयोग किए बिना दो चरों के मानों को बदलता है।,"def swap_values(a, b):
    a = a ^ b
    b = a ^ b
    a = a ^ b
    return a, b"
Escribe un programa en Python para intercambiar los valores de dos variables sin usar una variable temporal.,"def swap_values(a, b):
    a = a ^ b
    b = a ^ b
    a = a ^ b
    return a, b"
一時変数を使用せずに、2つの変数の値を交換するためのPythonプログラムを書いてください。,"def swap_values(a, b):
    a = a ^ b
    b = a ^ b
    a = a ^ b
    return a, b"
Напишите программу на Python для обмена значениями двух переменных без использования временной переменной.,"def swap_values(a, b):
    a = a ^ b
    b = a ^ b
    a = a ^ b
    return a, b"
Write a Python program to find the largest element in a given list of numbers.,"def find_largest(numbers):
    largest = numbers[0]
    for num in numbers:
        if num > largest:
            largest = num
    return largest"
编写一个Python程序，找到给定数字列表中的最大元素。,"def find_largest(numbers):
    largest = numbers[0]
    for num in numbers:
        if num > largest:
            largest = num
    return largest"
एक दिए गए संख्या सूची में सबसे बड़ा तत्व ढूंढ़ने के लिए एक पायथन कार्यक्रम लिखें।,"def find_largest(numbers):
    largest = numbers[0]
    for num in numbers:
        if num > largest:
            largest = num
    return largest"
Escribe un programa en Python para encontrar el elemento más grande en una lista dada de números.,"def find_largest(numbers):
    largest = numbers[0]
    for num in numbers:
        if num > largest:
            largest = num
    return largest"
Напишите программу на Python для поиска наибольшего элемента в заданном списке чисел.,"def find_largest(numbers):
    largest = numbers[0]
    for num in numbers:
        if num > largest:
            largest = num
    return largest"
Write a program to find the sum of all divisors of a given number.,"def sum_of_divisors(n):
    divisors = []
    for i in range(1, n+1):
        if n % i == 0:
            divisors.append(i)
    return sum(divisors)"
编写一个程序来找到给定数字的所有除数的和。,"def sum_of_divisors(n):
    divisors = []
    for i in range(1, n+1):
        if n % i == 0:
            divisors.append(i)
    return sum(divisors)"
एक दिए गए नंबर के सभी विभाजकों के योग को ढूंढने के लिए एक प्रोग्राम लिखें।,"def sum_of_divisors(n):
    divisors = []
    for i in range(1, n+1):
        if n % i == 0:
            divisors.append(i)
    return sum(divisors)"
Escribe un programa para encontrar la suma de todos los divisores de un número dado.,"def sum_of_divisors(n):
    divisors = []
    for i in range(1, n+1):
        if n % i == 0:
            divisors.append(i)
    return sum(divisors)"
Напишите программу для нахождения суммы всех делителей заданного числа.,"def sum_of_divisors(n):
    divisors = []
    for i in range(1, n+1):
        if n % i == 0:
            divisors.append(i)
    return sum(divisors)"
Write a Python program to calculate the sum of all the numbers in a given list.,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
编写一个Python程序来计算给定列表中所有数字的总和。,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
एक दिए गए सूची में सभी नंबरों का योग निर्धारित करने के लिए एक पायथन प्रोग्राम लिखें।,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Escribe un programa en Python para calcular la suma de todos los números en una lista dada.,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Напишите программу на Python для вычисления суммы всех чисел в заданном списке.,"def calculate_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Write a Python program to find the maximum product of two numbers in a given list.,"def max_product(nums):
    if len(nums) < 2:
        return None"
编写一个Python程序，在给定的列表中找到两个数的最大乘积。,"def max_product(nums):
    if len(nums) < 2:
        return None"
एक पायथन प्रोग्राम लिखें जो दिए गए सूची में दो नंबरों के अधिकतम गुण को ढूंढ़े।,"def max_product(nums):
    if len(nums) < 2:
        return None"
Escribe un programa en Python para encontrar el producto máximo de dos números en una lista dada.,"def max_product(nums):
    if len(nums) < 2:
        return None"
与えられたリストの中で、2つの数の最大の積を見つけるためのPythonプログラムを作成してください。,"def max_product(nums):
    if len(nums) < 2:
        return None"
"Напишите программу на Python, чтобы найти максимальное произведение двух чисел в заданном списке.","def max_product(nums):
    if len(nums) < 2:
        return None"
Write a program that finds the second smallest number in a given list.,"def find_second_smallest(numbers):
    smallest = float('inf')
    second_smallest = float('inf')
    
    for num in numbers:
        if num < smallest:
            second_smallest = smallest
            smallest = num
        elif num < second_smallest and num != smallest:
            second_smallest = num
    
    return second_smallest"
एक प्रोग्राम लिखें जो दिए गए सूची में दूसरा सबसे छोटा नंबर ढूंढ़ता है।,"def find_second_smallest(numbers):
    smallest = float('inf')
    second_smallest = float('inf')
    
    for num in numbers:
        if num < smallest:
            second_smallest = smallest
            smallest = num
        elif num < second_smallest and num != smallest:
            second_smallest = num
    
    return second_smallest"
Escribe un programa que encuentre el segundo número más pequeño en una lista dada.,"def find_second_smallest(numbers):
    smallest = float('inf')
    second_smallest = float('inf')
    
    for num in numbers:
        if num < smallest:
            second_smallest = smallest
            smallest = num
        elif num < second_smallest and num != smallest:
            second_smallest = num
    
    return second_smallest"
"Напишите программу, которая находит второе наименьшее число в заданном списке.","def find_second_smallest(numbers):
    smallest = float('inf')
    second_smallest = float('inf')
    
    for num in numbers:
        if num < smallest:
            second_smallest = smallest
            smallest = num
        elif num < second_smallest and num != smallest:
            second_smallest = num
    
    return second_smallest"
Write a program to check if a given year is a leap year or not using the calendar module.,"def is_leap_year(year):
    return calendar.isleap(year)"
कैलेंडर मॉड्यूल का उपयोग करके दिए गए वर्ष को लीप वर्ष है या नहीं यह जांचने के लिए एक प्रोग्राम लिखें।,"def is_leap_year(year):
    return calendar.isleap(year)"
Escribe un programa para verificar si un año dado es bisiesto o no utilizando el módulo de calendario.,"def is_leap_year(year):
    return calendar.isleap(year)"
"Напишите программу для проверки, является ли заданный год високосным или нет, используя модуль календаря.","def is_leap_year(year):
    return calendar.isleap(year)"
"Write a program to find the maximum difference between two numbers in a given list, considering the order of appearance.","def max_difference(numbers):
    max_diff = float('-inf')
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            diff = numbers[j] - numbers[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
编写一个程序，在考虑出现顺序的情况下，找到给定列表中两个数字之间的最大差值。,"def max_difference(numbers):
    max_diff = float('-inf')
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            diff = numbers[j] - numbers[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
"एक दिए गए सूची में दो नंबरों के बीच का अधिकतम अंतर ढूंढ़ने के लिए एक प्रोग्राम लिखें, उपस्थिति के क्रम को ध्यान में रखते हुए।","def max_difference(numbers):
    max_diff = float('-inf')
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            diff = numbers[j] - numbers[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
"Escribe un programa para encontrar la diferencia máxima entre dos números en una lista dada, considerando el orden de aparición.","def max_difference(numbers):
    max_diff = float('-inf')
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            diff = numbers[j] - numbers[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
与えられたリスト内の2つの数の最大の差を、出現順序を考慮して見つけるプログラムを作成してください。,"def max_difference(numbers):
    max_diff = float('-inf')
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            diff = numbers[j] - numbers[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
"Напишите программу для поиска максимальной разницы между двумя числами в заданном списке, учитывая порядок появления.","def max_difference(numbers):
    max_diff = float('-inf')
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            diff = numbers[j] - numbers[i]
            if diff > max_diff:
                max_diff = diff
    return max_diff"
Write a program to check if a given number is a perfect square or not using the math module.,"def is_perfect_square(num):
    sqrt = math.isqrt(num)
    return sqrt * sqrt == num"
Escribe un programa para verificar si un número dado es un cuadrado perfecto o no utilizando el módulo math.,"def is_perfect_square(num):
    sqrt = math.isqrt(num)
    return sqrt * sqrt == num"
"Напишите программу для проверки, является ли заданное число полным квадратом или нет, используя модуль math.","def is_perfect_square(num):
    sqrt = math.isqrt(num)
    return sqrt * sqrt == num"
Write a Python program that takes a list of numbers as input and returns the sum of all the even numbers in the list.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
编写一个Python程序，该程序接受一个数字列表作为输入，并返回列表中所有偶数的和。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
एक पायथन प्रोग्राम लिखें जो एक संख्या सूची को इनपुट के रूप में लेता है और सूची में सभी सम्पूर्ण सम्पूर्ण संख्याओं का योग लौटाता है।,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Escribe un programa en Python que tome una lista de números como entrada y devuelva la suma de todos los números pares en la lista.,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
リストの数値を入力として受け取り、リスト内のすべての偶数の合計を返すPythonプログラムを作成してください。,"def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
"Напишите программу на Python, которая принимает список чисел в качестве входных данных и возвращает сумму всех четных чисел в списке.","def sum_even_numbers(numbers):
    sum_even = 0
    for num in numbers:
        if num % 2 == 0:
            sum_even += num
    return sum_even"
Write a program to find the sum of all prime numbers between two given numbers.,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
编写一个程序，找出两个给定数字之间所有质数的和。,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
दो दिए गए नंबर के बीच सभी प्राइम नंबरों के योग को ढूंढने के लिए एक प्रोग्राम लिखें।,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
Escribe un programa para encontrar la suma de todos los números primos entre dos números dados.,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
Напишите программу для нахождения суммы всех простых чисел между двумя заданными числами.,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True"
Write a program to generate the Fibonacci sequence up to a given number of terms.,"def generate_fibonacci_sequence(num_terms):
    sequence = []
    if num_terms <= 0:
        return sequence
    elif num_terms == 1:
        sequence.append(0)
    elif num_terms == 2:
        sequence.extend([0, 1])
    else:
        sequence.extend([0, 1])
        for i in range(2, num_terms):
            next_term = sequence[i-1] + sequence[i-2]
            sequence.append(next_term)
    return sequence"
编写一个程序，生成斐波那契数列，直到给定的项数。,"def generate_fibonacci_sequence(num_terms):
    sequence = []
    if num_terms <= 0:
        return sequence
    elif num_terms == 1:
        sequence.append(0)
    elif num_terms == 2:
        sequence.extend([0, 1])
    else:
        sequence.extend([0, 1])
        for i in range(2, num_terms):
            next_term = sequence[i-1] + sequence[i-2]
            sequence.append(next_term)
    return sequence"
Escribe un programa para generar la secuencia de Fibonacci hasta un número dado de términos.,"def generate_fibonacci_sequence(num_terms):
    sequence = []
    if num_terms <= 0:
        return sequence
    elif num_terms == 1:
        sequence.append(0)
    elif num_terms == 2:
        sequence.extend([0, 1])
    else:
        sequence.extend([0, 1])
        for i in range(2, num_terms):
            next_term = sequence[i-1] + sequence[i-2]
            sequence.append(next_term)
    return sequence"
Напишите программу для генерации последовательности Фибоначчи до заданного количества членов.,"def generate_fibonacci_sequence(num_terms):
    sequence = []
    if num_terms <= 0:
        return sequence
    elif num_terms == 1:
        sequence.append(0)
    elif num_terms == 2:
        sequence.extend([0, 1])
    else:
        sequence.extend([0, 1])
        for i in range(2, num_terms):
            next_term = sequence[i-1] + sequence[i-2]
            sequence.append(next_term)
    return sequence"
Write a Python program to find the sum of all the numbers in a given list.,"def find_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
编写一个Python程序，找到给定列表中所有数字的和。,"def find_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
एक दिए गए सूची में सभी नंबरों का योग ढूंढने के लिए एक पायथन प्रोग्राम लिखें।,"def find_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
Escribe un programa en Python para encontrar la suma de todos los números en una lista dada.,"def find_sum(numbers):
    sum = 0
    for num in numbers:
        sum += num
    return sum"
